
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  Y     X     Z   

   NODE        X                   Y                   Z
    15238   0.125311475410         0.00000000000        0.750000000000E-002
    15178   0.125311475410         0.00000000000        0.100000000000E-001
     3826   0.125311475410         0.00000000000        0.125000000000E-001
    11390   0.125311475410         0.00000000000        0.125000000000E-001
       45   0.128295081967         0.00000000000         0.00000000000     
     7789   0.128295081967         0.00000000000         0.00000000000     
    15359   0.128295081967         0.00000000000        0.250000000000E-002
    15299   0.128295081967         0.00000000000        0.500000000000E-002
    15239   0.128295081967         0.00000000000        0.750000000000E-002
    15179   0.128295081967         0.00000000000        0.100000000000E-001
     3827   0.128295081967         0.00000000000        0.125000000000E-001
    11391   0.128295081967         0.00000000000        0.125000000000E-001
       46   0.131278688525         0.00000000000         0.00000000000     
     7790   0.131278688525         0.00000000000         0.00000000000     
    15360   0.131278688525         0.00000000000        0.250000000000E-002
    15300   0.131278688525         0.00000000000        0.500000000000E-002
    15240   0.131278688525         0.00000000000        0.750000000000E-002
    15180   0.131278688525         0.00000000000        0.100000000000E-001
     3828   0.131278688525         0.00000000000        0.125000000000E-001
    11392   0.131278688525         0.00000000000        0.125000000000E-001

   NODE        X                   Y                   Z
       47   0.134262295082         0.00000000000         0.00000000000     
     7791   0.134262295082         0.00000000000         0.00000000000     
    15361   0.134262295082         0.00000000000        0.250000000000E-002
    15301   0.134262295082         0.00000000000        0.500000000000E-002
    15241   0.134262295082         0.00000000000        0.750000000000E-002
    15181   0.134262295082         0.00000000000        0.100000000000E-001
     3829   0.134262295082         0.00000000000        0.125000000000E-001
    11393   0.134262295082         0.00000000000        0.125000000000E-001
       48   0.137245901639         0.00000000000         0.00000000000     
     7792   0.137245901639         0.00000000000         0.00000000000     
    15362   0.137245901639         0.00000000000        0.250000000000E-002
    15302   0.137245901639         0.00000000000        0.500000000000E-002
    15242   0.137245901639         0.00000000000        0.750000000000E-002
    15182   0.137245901639         0.00000000000        0.100000000000E-001
     3830   0.137245901639         0.00000000000        0.125000000000E-001
    11394   0.137245901639         0.00000000000        0.125000000000E-001
       49   0.140229508197         0.00000000000         0.00000000000     
     7793   0.140229508197         0.00000000000         0.00000000000     
    15363   0.140229508197         0.00000000000        0.250000000000E-002
    15303   0.140229508197         0.00000000000        0.500000000000E-002

   NODE        X                   Y                   Z
    15243   0.140229508197         0.00000000000        0.750000000000E-002
    15183   0.140229508197         0.00000000000        0.100000000000E-001
     3831   0.140229508197         0.00000000000        0.125000000000E-001
    11395   0.140229508197         0.00000000000        0.125000000000E-001
       50   0.143213114754         0.00000000000         0.00000000000     
     7794   0.143213114754         0.00000000000         0.00000000000     
    15364   0.143213114754         0.00000000000        0.250000000000E-002
    15304   0.143213114754         0.00000000000        0.500000000000E-002
    15244   0.143213114754         0.00000000000        0.750000000000E-002
    15184   0.143213114754         0.00000000000        0.100000000000E-001
     3832   0.143213114754         0.00000000000        0.125000000000E-001
